streetname,from_st,to_st
LAWTON ST,25TH AVE,Intersection
LAWTON ST,26TH AVE,Intersection
MORAGA ST,25TH AVE,Intersection
MORAGA ST,26TH AVE,Intersection
NORIEGA ST,25TH AVE,Intersection
NORIEGA ST,26TH AVE,Intersection
ORTEGA ST,25TH AVE,Intersection
ORTEGA ST,26TH AVE,Intersection
QUINTARA ST,25TH AVE,Intersection
QUINTARA ST,26TH AVE,Intersection
RIVERA ST,26TH AVE,Intersection
RIVERA ST,25TH AVE,Intersection
SANTIAGO ST,25TH AVE,Intersection
SANTIAGO ST,26TH AVE,Intersection
27TH AVE,LINCOLN WAY,IRVING ST
27TH AVE,IRVING ST,JUDAH ST
27TH AVE,JUDAH ST,KIRKHAM ST
27TH AVE,KIRKHAM ST,LAWTON ST
27TH AVE,LAWTON ST,MORAGA ST
27TH AVE,MORAGA ST,NORIEGA ST
27TH AVE,NORIEGA ST,ORTEGA ST
27TH AVE,QUINTARA ST,RIVERA ST
27TH AVE,RIVERA ST,SANTIAGO ST
